[38.9071923, -77.0368707, 'OFFENSE', 'METHOD', 'BLOCKSITEADDRESS', 'REPORTDATETIME', 'OFFENSE : METHOD', 'BLOCKSITEADDRESS\nREPORTDATETIME'],
[38.885808, -76.957236, 'BURGLARY', 'OTHERS', '300 - 319 BLOCK OF 34TH STREET SE', '1/1/2013 3:27:00 AM', 'BURGLARY', '300 - 319 BLOCK OF 34TH STREET SE\n1/1/2013 3:27:00 AM'],
[38.9502002, -77.01780620000001, 'ASSAULT W/DANGEROUS WEAPON', 'OTHERS', '4900  - 4999 BLOCK OF 4TH STREET NW', '1/1/2013 3:31:00 AM', 'ASSAULT W/DANGEROUS WEAPON', '4900  - 4999 BLOCK OF 4TH STREET NW\n1/1/2013 3:31:00 AM'],
[38.891043, -76.918043, 'BURGLARY', 'OTHERS', '200 - 299 BLOCK OF 58TH STREET NE', '1/1/2013 5:19:00 AM', 'BURGLARY', '200 - 299 BLOCK OF 58TH STREET NE\n1/1/2013 5:19:00 AM'],
[38.90651889999999, -77.038529, 'SEX ABUSE', 'OTHERS', '1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW', '1/1/2013 3:56:00 AM', 'SEX ABUSE', '1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW\n1/1/2013 3:56:00 AM'],
[38.8771707, -77.0056544, 'ROBBERY', 'GUN', '1100 - 1199 BLOCK OF 1ST TERRACE NW', '1/1/2013 7:30:00 AM', 'ROBBERY : GUN', '1100 - 1199 BLOCK OF 1ST TERRACE NW\n1/1/2013 7:30:00 AM'],
[38.9672358, -77.00445580000002, 'THEFT F/AUTO', 'OTHERS', '4200 - 4299 BLOCK OF EASTERN AVENUE NE', '1/1/2013 8:30:00 AM', 'THEFT F/AUTO', '4200 - 4299 BLOCK OF EASTERN AVENUE NE\n1/1/2013 8:30:00 AM'],
[38.9277165, -77.02727689999999, 'SEX ABUSE', 'OTHERS', '1100 - 1299 BLOCK OF COLUMBIA ROAD NW', '1/1/2013 2:36:00 AM', 'SEX ABUSE', '1100 - 1299 BLOCK OF COLUMBIA ROAD NW\n1/1/2013 2:36:00 AM'],
[38.917564, -77.022211, 'THEFT F/AUTO', 'OTHERS', '700 - 799 BLOCK OF V STREET NW', '1/1/2013 7:51:00 AM', 'THEFT F/AUTO', '700 - 799 BLOCK OF V STREET NW\n1/1/2013 7:51:00 AM'],
[38.9552887, -77.02343780000001, 'ASSAULT W/DANGEROUS WEAPON', 'OTHERS', '735 - 939 BLOCK OF JEFFERSON STREET NE', '1/1/2013 7:50:00 AM', 'ASSAULT W/DANGEROUS WEAPON', '735 - 939 BLOCK OF JEFFERSON STREET NE\n1/1/2013 7:50:00 AM'],
[38.90132699999999, -77.00203599999999, 'THEFT/OTHER', 'OTHERS', 'I STREET NE AND 3RD STREET NE', '1/1/2013 9:27:00 AM', 'THEFT/OTHER', 'I STREET NE AND 3RD STREET NE\n1/1/2013 9:27:00 AM'],
[38.9072944, -77.041701, 'THEFT F/AUTO', 'OTHERS', '1300 - 1399 BLOCK OF 18TH STREET NW', '1/1/2013 9:26:00 AM', 'THEFT F/AUTO', '1300 - 1399 BLOCK OF 18TH STREET NW\n1/1/2013 9:26:00 AM'],
[38.9022102, -76.9447721, 'BURGLARY', 'OTHERS', '1600 - 1699 BLOCK OF KENILWORTH AVENUE NE', '1/1/2013 9:32:00 AM', 'BURGLARY', '1600 - 1699 BLOCK OF KENILWORTH AVENUE NE\n1/1/2013 9:32:00 AM'],
[38.924608, -77.039728, 'THEFT/OTHER', 'OTHERS', '1700 - 1733 BLOCK OF COLUMBIA ROAD NW', '1/1/2013 9:59:00 AM', 'THEFT/OTHER', '1700 - 1733 BLOCK OF COLUMBIA ROAD NW\n1/1/2013 9:59:00 AM'],
[38.9429319, -76.9836904, 'THEFT F/AUTO', 'OTHERS', '4400 - 4499 BLOCK OF 16TH STREET NE', '1/1/2013 10:57:00 AM', 'THEFT F/AUTO', '4400 - 4499 BLOCK OF 16TH STREET NE\n1/1/2013 10:57:00 AM'],
[38.874625, -76.9588258, 'BURGLARY', 'OTHERS', '1200 - 1299 BLOCK OF 33RD PLACE SE', '1/1/2013 9:40:00 AM', 'BURGLARY', '1200 - 1299 BLOCK OF 33RD PLACE SE\n1/1/2013 9:40:00 AM'],
[38.9169834, -77.0296281, 'THEFT/OTHER', 'OTHERS', '1300 - 1399 BLOCK OF U STREET NW', '1/1/2013 11:00:00 AM', 'THEFT/OTHER', '1300 - 1399 BLOCK OF U STREET NW\n1/1/2013 11:00:00 AM'],
[38.910984, -77.029951, 'THEFT F/AUTO', 'OTHERS', '1300 - 1329 BLOCK OF Q STREET NW', '1/1/2013 11:32:00 AM', 'THEFT F/AUTO', '1300 - 1329 BLOCK OF Q STREET NW\n1/1/2013 11:32:00 AM'],
[38.86845599999999, -76.977188, 'BURGLARY', 'OTHERS', '1900 - 2299 BLOCK OF S STREET SE', '1/1/2013 12:57:00 PM', 'BURGLARY', '1900 - 2299 BLOCK OF S STREET SE\n1/1/2013 12:57:00 PM'],
[38.9111288, -77.0416837, 'THEFT F/AUTO', 'OTHERS', '18TH STREET NW AND Q STREET NW', '1/1/2013 12:58:00 PM', 'THEFT F/AUTO', '18TH STREET NW AND Q STREET NW\n1/1/2013 12:58:00 PM'],
[38.9009019, -77.0240074, 'THEFT/OTHER', 'OTHERS', '900 - 999 BLOCK OF 9TH STREET NW', '1/1/2013 1:12:00 PM', 'THEFT/OTHER', '900 - 999 BLOCK OF 9TH STREET NW\n1/1/2013 1:12:00 PM'],
[38.885442, -76.959566, 'THEFT/OTHER', 'OTHERS', '3300 - 3399 BLOCK OF DUBOIS PLACE SE', '1/1/2013 1:15:00 PM', 'THEFT/OTHER', '3300 - 3399 BLOCK OF DUBOIS PLACE SE\n1/1/2013 1:15:00 PM'],
[38.9140841, -77.0365264, 'THEFT F/AUTO', 'OTHERS', '1600 - 1699 BLOCK OF S STREET NW', '1/1/2013 1:48:00 PM', 'THEFT F/AUTO', '1600 - 1699 BLOCK OF S STREET NW\n1/1/2013 1:48:00 PM'],
[38.944409, -76.98610099999999, 'MOTOR VEHICLE THEFT', 'OTHERS', '4500 - 4598 BLOCK OF SOUTH DAKOTA AVENUE NE', '1/1/2013 1:33:00 PM', 'MOTOR VEHICLE THEFT', '4500 - 4598 BLOCK OF SOUTH DAKOTA AVENUE NE\n1/1/2013 1:33:00 PM'],
[38.94430699999999, -77.02041899999999, 'THEFT/OTHER', 'OTHERS', '4400  - 4499 BLOCK OF ILLINOIS AVENUE NW', '1/1/2013 2:26:00 PM', 'THEFT/OTHER', '4400  - 4499 BLOCK OF ILLINOIS AVENUE NW\n1/1/2013 2:26:00 PM'],
[38.9021042, -77.0420017, 'THEFT F/AUTO', 'OTHERS', '1800 - 1899 BLOCK OF K STREET NW', '1/1/2013 2:18:00 PM', 'THEFT F/AUTO', '1800 - 1899 BLOCK OF K STREET NW\n1/1/2013 2:18:00 PM'],
[38.911867, -77.03194839999999, 'THEFT F/AUTO', 'OTHERS', 'CORCORAN STREET NW AND 14TH STREET NW', '1/1/2013 2:48:00 PM', 'THEFT F/AUTO', 'CORCORAN STREET NW AND 14TH STREET NW\n1/1/2013 2:48:00 PM'],
